Event,Fight
The Ultimate Fighter: Tournament of Champions Finale,Devin Clark vs. Josh Stansbury
UFC Fight Night: Whittaker vs. Brunson,Robert Whittaker vs. Derek Brunson
UFC Fight Night: Whittaker vs. Brunson,Andrew Holbrook vs. Jake Matthews
UFC Fight Night: Whittaker vs. Brunson,Omari Akhmedov vs. Kyle Noke
UFC Fight Night: Whittaker vs. Brunson,Alexander Volkanovski vs. Yusuke Kasuya
UFC Fight Night: Whittaker vs. Brunson,Tyson Pedro vs. Khalil Rountree Jr.
UFC Fight Night: Whittaker vs. Brunson,Danielle Taylor vs. Seo Hee Ham
UFC Fight Night: Whittaker vs. Brunson,Daniel Kelly vs. Chris Camozzi
UFC Fight Night: Whittaker vs. Brunson,Damien Brown vs. Jon Tuck
UFC Fight Night: Whittaker vs. Brunson,Jonathan Meunier vs. Richard Walsh
UFC Fight Night: Whittaker vs. Brunson,Ben Nguyen vs. Geane Herrera
UFC Fight Night: Whittaker vs. Brunson,Jason Knight vs. Dan Hooker
UFC Fight Night: Whittaker vs. Brunson,Marlon Vera vs. Guangyou Ning
UFC Fight Night: Whittaker vs. Brunson,Jenel Lausa vs. Yao Zhikui
UFC Fight Night: Bader vs. Nogueira,Ryan Bader vs. Rogerio Nogueira
UFC Fight Night: Bader vs. Nogueira,Thomas Almeida vs. Albert Morales
UFC Fight Night: Bader vs. Nogueira,Claudia Gadelha vs. Cortney Casey
UFC Fight Night: Bader vs. Nogueira,Krzysztof Jotko vs. Thales Leites
UFC Fight Night: Bader vs. Nogueira,Kamaru Usman vs. Warlley Alves
UFC Fight Night: Bader vs. Nogueira,Sergio Moraes vs. Zak Ottow
UFC Fight Night: Bader vs. Nogueira,Cezar Ferreira vs. Jack Hermansson
UFC Fight Night: Bader vs. Nogueira,Gadzhimurad Antigulov vs. Marcos Rogerio de Lima
UFC Fight Night: Bader vs. Nogueira,Johnny Eduardo vs. Manvel Gamburyan
UFC Fight Night: Bader vs. Nogueira,Luis Henrique vs. Christian Colombo
UFC Fight Night: Bader vs. Nogueira,Pedro Munhoz vs. Justin Scoggins
UFC Fight Night: Bader vs. Nogueira,Francimar Barroso vs. Darren Stewart
UFC Fight Night: Mousasi vs. Hall 2,Gegard Mousasi vs. Uriah Hall
UFC Fight Night: Mousasi vs. Hall 2,Stevie Ray vs. Ross Pearson
UFC Fight Night: Mousasi vs. Hall 2,Alexander Volkov vs. Timothy Johnson
UFC Fight Night: Mousasi vs. Hall 2,Artem Lobov vs. Teruto Ishihara
UFC Fight Night: Mousasi vs. Hall 2,Jack Marshman vs. Magnus Cedenblad
UFC Fight Night: Mousasi vs. Hall 2,Kyoji Horiguchi vs. Ali Bagautinov
UFC Fight Night: Mousasi vs. Hall 2,Kevin Lee vs. Magomed Mustafaev
UFC Fight Night: Mousasi vs. Hall 2,Amanda Cooper vs. Anna Elmose
UFC Fight Night: Mousasi vs. Hall 2,Justin Ledet vs. Mark Godbeer
UFC Fight Night: Mousasi vs. Hall 2,Zak Cummings vs. Alexander Yakovlev
UFC Fight Night: Mousasi vs. Hall 2,Marion Reneau vs. Milana Dudieva
UFC Fight Night: Mousasi vs. Hall 2,Brett Johns vs. Kwan Ho Kwak
UFC Fight Night: Mousasi vs. Hall 2,Abdul Razak Alhassan vs. Charlie Ward
UFC 205: Alvarez vs McGregor,Conor McGregor vs. Eddie Alvarez
UFC 205: Alvarez vs McGregor,Tyron Woodley vs. Stephen Thompson
UFC 205: Alvarez vs McGregor,Joanna Jedrzejczyk vs. Karolina Kowalkiewicz
UFC 205: Alvarez vs McGregor,Yoel Romero vs. Chris Weidman
UFC 205: Alvarez vs McGregor,Raquel Pennington vs. Miesha Tate
UFC 205: Alvarez vs McGregor,Frankie Edgar vs. Jeremy Stephens
UFC 205: Alvarez vs McGregor,Khabib Nurmagomedov vs. Michael Johnson
UFC 205: Alvarez vs McGregor,Tim Boetsch vs. Rafael Natal
UFC 205: Alvarez vs McGregor,Vicente Luque vs. Belal Muhammad
UFC 205: Alvarez vs McGregor,Jim Miller vs. Thiago Alves
UFC 205: Alvarez vs McGregor,Liz Carmouche vs. Katlyn Chookagian
UFC Fight Night: Dos Anjos vs. Ferguson,Tony Ferguson vs. Rafael Dos Anjos
UFC Fight Night: Dos Anjos vs. Ferguson,Diego Sanchez vs. Marcin Held
UFC Fight Night: Dos Anjos vs. Ferguson,Ricardo Lamas vs. Charles Oliveira
UFC Fight Night: Dos Anjos vs. Ferguson,Martin Bravo vs. Claudio Puelles
UFC Fight Night: Dos Anjos vs. Ferguson,Beneil Dariush vs. Rashid Magomedov
UFC Fight Night: Dos Anjos vs. Ferguson,Alexa Grasso vs. Heather Clark
UFC Fight Night: Dos Anjos vs. Ferguson,Erik Perez vs. Felipe Arantes
UFC Fight Night: Dos Anjos vs. Ferguson,Joe Soto vs. Marco Beltran
UFC Fight Night: Dos Anjos vs. Ferguson,Max Griffin vs. Erick Montano
UFC Fight Night: Dos Anjos vs. Ferguson,Douglas Silva de Andrade vs. Henry Briones
UFC Fight Night: Dos Anjos vs. Ferguson,Sam Alvey vs. Alex Nicholson
UFC Fight Night: Dos Anjos vs. Ferguson,Marco Polo Reyes vs. Jason Novelli
UFC Fight Night: Dos Anjos vs. Ferguson,Enrique Barzola vs. Chris Avila
UFC 204: Bisping vs. Henderson,Michael Bisping vs. Dan Henderson
UFC 204: Bisping vs. Henderson,Gegard Mousasi vs. Vitor Belfort
UFC 204: Bisping vs. Henderson,Jimi Manuwa vs. Ovince Saint Preux
UFC 204: Bisping vs. Henderson,Stefan Struve vs. Daniel Omielanczuk
UFC 204: Bisping vs. Henderson,Mirsad Bektic vs. Russell Doane
UFC 204: Bisping vs. Henderson,Iuri Alcantara vs. Brad Pickett
UFC 204: Bisping vs. Henderson,Damian Stasiak vs. Davey Grant
UFC 204: Bisping vs. Henderson,Leon Edwards vs. Albert Tumenov
UFC 204: Bisping vs. Henderson,Marc Diakiese vs. Lukasz Sajewski
UFC 204: Bisping vs. Henderson,Mike Perry vs. Danny Roberts
UFC 204: Bisping vs. Henderson,Leonardo Santos vs. Adriano Martins
UFC Fight Night: Lineker vs. Dodson,John Lineker vs. John Dodson
UFC Fight Night: Lineker vs. Dodson,Alex Oliveira vs. Will Brooks
UFC Fight Night: Lineker vs. Dodson,Zak Ottow vs. Joshua Burkman
UFC Fight Night: Lineker vs. Dodson,Brandon Moreno vs. Louis Smolka
UFC Fight Night: Lineker vs. Dodson,Henrique da Silva vs. Joachim Christensen
UFC Fight Night: Lineker vs. Dodson,Andre Fili vs. Hacran Dias
UFC Fight Night: Lineker vs. Dodson,Shamil Abdurakhimov vs. Walt Harris
UFC Fight Night: Lineker vs. Dodson,Elizeu Zaleski dos Santos vs. Keita Nakamura
UFC Fight Night: Lineker vs. Dodson,Nate Marquardt vs. Tamdan McCrory
UFC Fight Night: Lineker vs. Dodson,Ion Cutelaba vs. Jonathan Wilson
UFC Fight Night: Lineker vs. Dodson,Curtis Blaydes vs. Cody East
UFC Fight Night: Lineker vs. Dodson,Ketlen Vieira vs. Kelly Faszholz
UFC Fight Night: Cyborg vs. Lansberg,Cristiane Justino vs. Lina Lansberg
UFC Fight Night: Cyborg vs. Lansberg,Renan Barao vs. Phillipe Nover
UFC Fight Night: Cyborg vs. Lansberg,Roy Nelson vs. Antonio Silva
UFC Fight Night: Cyborg vs. Lansberg,Francisco Trinaldo vs. Paul Felder
UFC Fight Night: Cyborg vs. Lansberg,Eric Spicely vs. Thiago Santos
UFC Fight Night: Cyborg vs. Lansberg,Godofredo Pepey vs. Mike de la Torre
UFC Fight Night: Cyborg vs. Lansberg,Michel Prazeres vs. Gilbert Burns
UFC Fight Night: Cyborg vs. Lansberg,Rani Yahya vs. Michinori Tanaka
UFC Fight Night: Cyborg vs. Lansberg,Jussier Formiga vs. Dustin Ortiz
UFC Fight Night: Cyborg vs. Lansberg,Erick Silva vs. Luan Chagas
UFC Fight Night: Cyborg vs. Lansberg,Alan Patrick vs. Stevie Ray
UFC Fight Night: Cyborg vs. Lansberg,Vicente Luque vs. Hector Urbina
UFC Fight Night: Cyborg vs. Lansberg,Gregor Gillespie vs. Glaico Franca Moreira
UFC Fight Night: Poirier vs. Johnson,Michael Johnson vs. Dustin Poirier
UFC Fight Night: Poirier vs. Johnson,Derek Brunson vs. Uriah Hall
UFC Fight Night: Poirier vs. Johnson,Evan Dunham vs. Ricky Glenn
UFC Fight Night: Poirier vs. Johnson,Roan Carneiro vs. Kenny Robertson
UFC Fight Night: Poirier vs. Johnson,Islam Makhachev vs. Chris Wade
UFC Fight Night: Poirier vs. Johnson,Chas Skelly vs. Maximo Blanco
UFC Fight Night: Poirier vs. Johnson,Gabriel Benitez vs. Sam Sicilia
UFC Fight Night: Poirier vs. Johnson,Belal Muhammad vs. Augusto Montano
UFC Fight Night: Poirier vs. Johnson,Antonio Carlos Junior vs. Leonardo Guimaraes
UFC Fight Night: Poirier vs. Johnson,Jose Quinonez vs. Joey Gomez
UFC Fight Night: Poirier vs. Johnson,Randy Brown vs. Erick Montano
UFC Fight Night: Poirier vs. Johnson,Alejandro Perez vs. Albert Morales
UFC 203: Miocic vs. Overeem,Stipe Miocic vs. Alistair Overeem
UFC 203: Miocic vs. Overeem,Fabricio Werdum vs. Travis Browne
UFC 203: Miocic vs. Overeem,Mickey Gall vs. CM Punk
UFC 203: Miocic vs. Overeem,Jimmie Rivera vs. Urijah Faber
UFC 203: Miocic vs. Overeem,Jessica Andrade vs. Joanne Wood
UFC 203: Miocic vs. Overeem,Bethe Correia vs. Jessica Eye
UFC 203: Miocic vs. Overeem,Brad Tavares vs. Caio Magalhaes
UFC 203: Miocic vs. Overeem,Nik Lentz vs. Michael McBride
UFC 203: Miocic vs. Overeem,Drew Dober vs. Jason Gonzalez
UFC 203: Miocic vs. Overeem,Yancy Medeiros vs. Sean Spencer
UFC Fight Night: Arlovski vs. Barnett,Josh Barnett vs. Andrei Arlovski
UFC Fight Night: Arlovski vs. Barnett,Alexander Gustafsson vs. Jan Blachowicz
UFC Fight Night: Arlovski vs. Barnett,Ryan Bader vs. Ilir Latifi
UFC Fight Night: Arlovski vs. Barnett,Nick Hein vs. Tae Hyun Bang
UFC Fight Night: Arlovski vs. Barnett,Jessin Ayari vs. Jim Wallhead
UFC Fight Night: Arlovski vs. Barnett,Peter Sobotta vs. Nicolas Dalby
UFC Fight Night: Arlovski vs. Barnett,Ashlee Evans-Smith vs. Veronica Macedo
UFC Fight Night: Arlovski vs. Barnett,Taylor Lapilus vs. Leandro Issa
UFC Fight Night: Arlovski vs. Barnett,Jarjis Danho vs. Christian Colombo
UFC Fight Night: Arlovski vs. Barnett,Jack Hermansson vs. Scott Askham
UFC Fight Night: Arlovski vs. Barnett,Rustam Khabilov vs. Leandro Silva
UFC on FOX: Maia vs. Condit,Demian Maia vs. Carlos Condit
UFC on FOX: Maia vs. Condit,Anthony Pettis vs. Charles Oliveira
UFC on FOX: Maia vs. Condit,Paige VanZant vs. Bec Rawlings
UFC on FOX: Maia vs. Condit,Jim Miller vs. Joe Lauzon
UFC on FOX: Maia vs. Condit,Sam Alvey vs. Kevin Casey
UFC on FOX: Maia vs. Condit,Kyle Bochniak vs. Enrique Barzola
UFC on FOX: Maia vs. Condit,Alessio Di Chirico vs. Garreth McLellan
UFC on FOX: Maia vs. Condit,Felipe Silva vs. Shane Campbell
UFC on FOX: Maia vs. Condit,Chad Laprise vs. Thibault Gouti
UFC on FOX: Maia vs. Condit,Jeremy Kennedy vs. Alex Ricci
UFC 202: Diaz vs. McGregor 2,Conor McGregor vs. Nate Diaz
UFC 202: Diaz vs. McGregor 2,Anthony Johnson vs. Glover Teixeira
UFC 202: Diaz vs. McGregor 2,Donald Cerrone vs. Rick Story
UFC 202: Diaz vs. McGregor 2,Mike Perry vs. Hyun Gyu Lim
UFC 202: Diaz vs. McGregor 2,Tim Means vs. Sabah Homasi
UFC 202: Diaz vs. McGregor 2,Cody Garbrandt vs. Takeya Mizugaki
UFC 202: Diaz vs. McGregor 2,Raquel Pennington vs. Elizabeth Phillips
UFC 202: Diaz vs. McGregor 2,Artem Lobov vs. Chris Avila
UFC 202: Diaz vs. McGregor 2,Cortney Casey vs. Randa Markos
UFC 202: Diaz vs. McGregor 2,Lorenz Larkin vs. Neil Magny
UFC 202: Diaz vs. McGregor 2,Colby Covington vs. Max Griffin
UFC 202: Diaz vs. McGregor 2,Marvin Vettori vs. Alberto Uda
UFC Fight Night: Rodriguez vs. Caceres,Yair Rodriguez vs. Alex Caceres
UFC Fight Night: Rodriguez vs. Caceres,Dennis Bermudez vs. Rony Jason
UFC Fight Night: Rodriguez vs. Caceres,Thales Leites vs. Chris Camozzi
UFC Fight Night: Rodriguez vs. Caceres,Santiago Ponzinibbio vs. Zak Cummings
UFC Fight Night: Rodriguez vs. Caceres,Trevor Smith vs. Joseph Gigliotti
UFC Fight Night: Rodriguez vs. Caceres,Maryna Moroz vs. Danielle Taylor
UFC Fight Night: Rodriguez vs. Caceres,Court McGee vs. Dominique Steele
UFC Fight Night: Rodriguez vs. Caceres,Marcin Tybura vs. Viktor Pesta
UFC Fight Night: Rodriguez vs. Caceres,David Teymur vs. Jason Novelli
UFC Fight Night: Rodriguez vs. Caceres,Teruto Ishihara vs. Horacio Gutierrez
UFC Fight Night: Rodriguez vs. Caceres,Cub Swanson vs. Tatsuya Kawajiri
UFC Fight Night: Rodriguez vs. Caceres,Justin Ledet vs. Chase Sherman
UFC 201: Lawler vs. Woodley,Tyron Woodley vs. Robbie Lawler
UFC 201: Lawler vs. Woodley,Karolina Kowalkiewicz vs. Rose Namajunas
UFC 201: Lawler vs. Woodley,Jake Ellenberger vs. Matt Brown
UFC 201: Lawler vs. Woodley,Erik Perez vs. Francisco Rivera
UFC 201: Lawler vs. Woodley,Ryan Benoit vs. Fredy Serrano
UFC 201: Lawler vs. Woodley,Nikita Krylov vs. Ed Herman
UFC 201: Lawler vs. Woodley,Jorge Masvidal vs. Ross Pearson
UFC 201: Lawler vs. Woodley,Anthony Hamilton vs. Damian Grabowski
UFC 201: Lawler vs. Woodley,Wilson Reis vs. Hector Sandoval
UFC 201: Lawler vs. Woodley,Michael Graves vs. Bojan Velickovic
UFC 201: Lawler vs. Woodley,Damien Brown vs. Cesar Arzamendia
UFC on FOX: Holm vs. Shevchenko,Valentina Shevchenko vs. Holly Holm
UFC on FOX: Holm vs. Shevchenko,Edson Barboza vs. Gilbert Melendez
UFC on FOX: Holm vs. Shevchenko,Francis Ngannou vs. Bojan Mihajlovic
UFC on FOX: Holm vs. Shevchenko,Felice Herrig vs. Kailin Curran
UFC on FOX: Holm vs. Shevchenko,Eddie Wineland vs. Frankie Saenz
UFC on FOX: Holm vs. Shevchenko,Darren Elkins vs. Godofredo Pepey
UFC on FOX: Holm vs. Shevchenko,Kamaru Usman vs. Alexander Yakovlev
UFC on FOX: Holm vs. Shevchenko,Michel Prazeres vs. JC Cottrell
UFC on FOX: Holm vs. Shevchenko,Alex Oliveira vs. James Moontasri
UFC on FOX: Holm vs. Shevchenko,Jason Knight vs. Jim Alers
UFC on FOX: Holm vs. Shevchenko,Luis Henrique vs. Dmitrii Smoliakov
UFC Fight Night: McDonald vs. Lineker,John Lineker vs. Michael McDonald
UFC Fight Night: McDonald vs. Lineker,Tony Ferguson vs. Lando Vannata
UFC Fight Night: McDonald vs. Lineker,Tim Boetsch vs. Josh Samman
UFC Fight Night: McDonald vs. Lineker,Daniel Omielanczuk vs. Aleksei Oleinik
UFC Fight Night: McDonald vs. Lineker,Keita Nakamura vs. Kyle Noke
UFC Fight Night: McDonald vs. Lineker,Louis Smolka vs. Ben Nguyen
UFC Fight Night: McDonald vs. Lineker,Katlyn Chookagian vs. Lauren Murphy
UFC Fight Night: McDonald vs. Lineker,Sam Alvey vs. Eric Spicely
UFC Fight Night: McDonald vs. Lineker,Cortney Casey vs. Cristina Stanciu
UFC Fight Night: McDonald vs. Lineker,Scott Holtzman vs. Cody Pfister
UFC Fight Night: McDonald vs. Lineker,Rani Yahya vs. Matthew Lopez
UFC Fight Night: McDonald vs. Lineker,Alex Nicholson vs. Devin Clark
UFC 200: Tate vs Nunes,Amanda Nunes vs. Miesha Tate
UFC 200: Tate vs Nunes,Brock Lesnar vs. Mark Hunt
UFC 200: Tate vs Nunes,Daniel Cormier vs. Anderson Silva
UFC 200: Tate vs Nunes,Jose Aldo vs. Frankie Edgar
UFC 200: Tate vs Nunes,Cain Velasquez vs. Travis Browne
UFC 200: Tate vs Nunes,Julianna Pena vs. Cat Zingano
UFC 200: Tate vs Nunes,Kelvin Gastelum vs. Johny Hendricks
UFC 200: Tate vs Nunes,TJ Dillashaw vs. Raphael Assuncao
UFC 200: Tate vs Nunes,Sage Northcutt vs. Enrique Marin
UFC 200: Tate vs Nunes,Joe Lauzon vs. Diego Sanchez
UFC 200: Tate vs Nunes,Gegard Mousasi vs. Thiago Santos
UFC 200: Tate vs Nunes,Jim Miller vs. Takanori Gomi
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Joanna Jedrzejczyk vs. Claudia Gadelha
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Andrew Sanchez vs. Khalil Rountree Jr.
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Tatiana Suarez vs. Amanda Cooper
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Will Brooks vs. Ross Pearson
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Dooho Choi vs. Thiago Tavares
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Joaquim Silva vs. Andrew Holbrook
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Gray Maynard vs. Fernando Bruno
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Matheus Nicolau vs. John Moraga
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Josh Stansbury vs. Cory Hendricks
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Cezar Ferreira vs. Anthony Smith
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Kevin Lee vs. Jake Matthews
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Li Jingliang vs. Anton Zafir
UFC Fight Night: Dos Anjos vs. Alvarez,Eddie Alvarez vs. Rafael Dos Anjos
UFC Fight Night: Dos Anjos vs. Alvarez,Derrick Lewis vs. Roy Nelson
UFC Fight Night: Dos Anjos vs. Alvarez,Alan Jouban vs. Belal Muhammad
UFC Fight Night: Dos Anjos vs. Alvarez,Joe Duffy vs. Mitch Clarke
UFC Fight Night: Dos Anjos vs. Alvarez,Alberto Mina vs. Mike Pyle
UFC Fight Night: Dos Anjos vs. Alvarez,John Makdessi vs. Mehdi Baghdad
UFC Fight Night: Dos Anjos vs. Alvarez,Anthony Birchak vs. Dileno Lopes
UFC Fight Night: Dos Anjos vs. Alvarez,Pedro Munhoz vs. Russell Doane
UFC Fight Night: Dos Anjos vs. Alvarez,Felipe Arantes vs. Jerrod Sanders
UFC Fight Night: Dos Anjos vs. Alvarez,Gilbert Burns vs. Lukasz Sajewski
UFC Fight Night: Dos Anjos vs. Alvarez,Marco Beltran vs. Reginaldo Vieira
UFC Fight Night: Dos Anjos vs. Alvarez,Vicente Luque vs. Alvaro Herrera Mendoza
UFC Fight Night: MacDonald vs Thompson,Stephen Thompson vs. Rory MacDonald
UFC Fight Night: MacDonald vs Thompson,Donald Cerrone vs. Patrick Cote
UFC Fight Night: MacDonald vs Thompson,Steve Bosse vs. Sean O'Connell
UFC Fight Night: MacDonald vs Thompson,Olivier Aubin-Mercier vs. Thibault Gouti
UFC Fight Night: MacDonald vs Thompson,Joanne Wood vs. Valerie Letourneau
UFC Fight Night: MacDonald vs Thompson,Jason Saggo vs. Leandro Silva
UFC Fight Night: MacDonald vs Thompson,Misha Cirkunov vs. Ion Cutelaba
UFC Fight Night: MacDonald vs Thompson,Krzysztof Jotko vs. Tamdan McCrory
UFC Fight Night: MacDonald vs Thompson,Joe Soto vs. Chris Beal
UFC Fight Night: MacDonald vs Thompson,Elias Theodorou vs. Sam Alvey
UFC Fight Night: MacDonald vs Thompson,Randa Markos vs. Jocelyn Jones-Lybarger
UFC Fight Night: MacDonald vs Thompson,Colby Covington vs. Jonathan Meunier
UFC Fight Night: MacDonald vs Thompson,Ali Bagautinov vs. Geane Herrera
UFC 199: Rockhold vs. Bisping 2,Michael Bisping vs. Luke Rockhold
UFC 199: Rockhold vs. Bisping 2,Dominick Cruz vs. Urijah Faber
UFC 199: Rockhold vs. Bisping 2,Max Holloway vs. Ricardo Lamas
UFC 199: Rockhold vs. Bisping 2,Dan Henderson vs. Hector Lombard
UFC 199: Rockhold vs. Bisping 2,Dustin Poirier vs. Bobby Green
UFC 199: Rockhold vs. Bisping 2,Brian Ortega vs. Clay Guida
UFC 199: Rockhold vs. Bisping 2,Beneil Dariush vs. James Vick
UFC 199: Rockhold vs. Bisping 2,Jessica Andrade vs. Jessica Penne
UFC 199: Rockhold vs. Bisping 2,Alex Caceres vs. Cole Miller
UFC 199: Rockhold vs. Bisping 2,Sean Strickland vs. Tom Breese
UFC 199: Rockhold vs. Bisping 2,Henrique da Silva vs. Jonathan Wilson
UFC 199: Rockhold vs. Bisping 2,Kevin Casey vs. Elvis Mutapcic
UFC 199: Rockhold vs. Bisping 2,Marco Polo Reyes vs. Dong Hyun Ma
UFC Fight Night: Almeida vs Garbrandt,Cody Garbrandt vs. Thomas Almeida
UFC Fight Night: Almeida vs Garbrandt,Jeremy Stephens vs. Renan Barao
UFC Fight Night: Almeida vs Garbrandt,Rick Story vs. Tarec Saffiedine
UFC Fight Night: Almeida vs Garbrandt,Chris Camozzi vs. Vitor Miranda
UFC Fight Night: Almeida vs Garbrandt,Lorenz Larkin vs. Jorge Masvidal
UFC Fight Night: Almeida vs Garbrandt,Paul Felder vs. Joshua Burkman
UFC Fight Night: Almeida vs Garbrandt,Sara McMann vs. Jessica Eye
UFC Fight Night: Almeida vs Garbrandt,Abel Trujillo vs. Jordan Rinaldi
UFC Fight Night: Almeida vs Garbrandt,Jake Collier vs. Alberto Uda
UFC Fight Night: Almeida vs Garbrandt,Erik Koch vs. Shane Campbell
UFC Fight Night: Almeida vs Garbrandt,Bryan Caraway vs. Aljamain Sterling
UFC Fight Night: Almeida vs Garbrandt,Adam Milstead vs. Chris de la Rocha
UFC 198: Werdum vs Miocic,Stipe Miocic vs. Fabricio Werdum
UFC 198: Werdum vs Miocic,Jacare Souza vs. Vitor Belfort
UFC 198: Werdum vs Miocic,Cristiane Justino vs. Leslie Smith
UFC 198: Werdum vs Miocic,Mauricio Rua vs. Corey Anderson
UFC 198: Werdum vs Miocic,Bryan Barberena vs. Warlley Alves
UFC 198: Werdum vs Miocic,Demian Maia vs. Matt Brown
UFC 198: Werdum vs Miocic,Thiago Santos vs. Nate Marquardt
UFC 198: Werdum vs Miocic,Francisco Trinaldo vs. Yancy Medeiros
UFC 198: Werdum vs Miocic,John Lineker vs. Rob Font
UFC 198: Werdum vs Miocic,Rogerio Nogueira vs. Patrick Cummins
UFC 198: Werdum vs Miocic,Sergio Moraes vs. Luan Chagas
UFC 198: Werdum vs Miocic,Renato Moicano vs. Zubaira Tukhugov
UFC Fight Night: Overeem vs Arlovski,Alistair Overeem vs. Andrei Arlovski
UFC Fight Night: Overeem vs Arlovski,Stefan Struve vs. Antonio Silva
UFC Fight Night: Overeem vs Arlovski,Gunnar Nelson vs. Albert Tumenov
UFC Fight Night: Overeem vs Arlovski,Germaine de Randamie vs. Anna Elmose
UFC Fight Night: Overeem vs Arlovski,Nikita Krylov vs. Francimar Barroso
UFC Fight Night: Overeem vs Arlovski,Karolina Kowalkiewicz vs. Heather Clark
UFC Fight Night: Overeem vs Arlovski,Rustam Khabilov vs. Chris Wade
UFC Fight Night: Overeem vs Arlovski,Magnus Cedenblad vs. Garreth McLellan
UFC Fight Night: Overeem vs Arlovski,Josh Emmett vs. Jon Tuck
UFC Fight Night: Overeem vs Arlovski,Reza Madadi vs. Yan Cabral
UFC Fight Night: Overeem vs Arlovski,Kyoji Horiguchi vs. Neil Seery
UFC Fight Night: Overeem vs Arlovski,Leon Edwards vs. Dominic Waters
UFC Fight Night: Overeem vs Arlovski,Yuta Sasaki vs. Willie Gates
UFC 197: Jones vs Saint Preux,Jon Jones vs. Ovince Saint Preux
UFC 197: Jones vs Saint Preux,Demetrious Johnson vs. Henry Cejudo
UFC 197: Jones vs Saint Preux,Edson Barboza vs. Anthony Pettis
UFC 197: Jones vs Saint Preux,Robert Whittaker vs. Rafael Natal
UFC 197: Jones vs Saint Preux,Yair Rodriguez vs. Andre Fili
UFC 197: Jones vs Saint Preux,Sergio Pettis vs. Chris Kelades
UFC 197: Jones vs Saint Preux,Danny Roberts vs. Dominique Steele
UFC 197: Jones vs Saint Preux,Carla Esparza vs. Juliana Lima
UFC 197: Jones vs Saint Preux,James Vick vs. Glaico Franca Moreira
UFC 197: Jones vs Saint Preux,Walt Harris vs. Cody East
UFC 197: Jones vs Saint Preux,Marcos Rogerio de Lima vs. Clint Hester
UFC 197: Jones vs Saint Preux,Kevin Lee vs. Efrain Escudero
UFC on FOX: Teixeira vs Evans,Glover Teixeira vs. Rashad Evans
UFC on FOX: Teixeira vs Evans,Rose Namajunas vs. Tecia Torres
UFC on FOX: Teixeira vs Evans,Khabib Nurmagomedov vs. Darrell Horcher
UFC on FOX: Teixeira vs Evans,Cub Swanson vs. Hacran Dias
UFC on FOX: Teixeira vs Evans,Michael Chiesa vs. Beneil Dariush
UFC on FOX: Teixeira vs Evans,Raquel Pennington vs. Bethe Correia
UFC on FOX: Teixeira vs Evans,Santiago Ponzinibbio vs. Court McGee
UFC on FOX: Teixeira vs Evans,Michael Graves vs. Randy Brown
UFC on FOX: Teixeira vs Evans,John Dodson vs. Manvel Gamburyan
UFC on FOX: Teixeira vs Evans,Cezar Ferreira vs. Oluwale Bamgbose
UFC on FOX: Teixeira vs Evans,Elizeu Zaleski dos Santos vs. Omari Akhmedov
UFC Fight Night: Rothwell vs Dos Santos,Junior Dos Santos vs. Ben Rothwell
UFC Fight Night: Rothwell vs Dos Santos,Derrick Lewis vs. Gabriel Gonzaga
UFC Fight Night: Rothwell vs Dos Santos,Francis Ngannou vs. Curtis Blaydes
UFC Fight Night: Rothwell vs Dos Santos,Timothy Johnson vs. Marcin Tybura
UFC Fight Night: Rothwell vs Dos Santos,Jan Blachowicz vs. Igor Pokrajac
UFC Fight Night: Rothwell vs Dos Santos,Maryna Moroz vs. Cristina Stanciu
UFC Fight Night: Rothwell vs Dos Santos,Zak Cummings vs. Nicolas Dalby
UFC Fight Night: Rothwell vs Dos Santos,Alejandro Perez vs. Ian Entwistle
UFC Fight Night: Rothwell vs Dos Santos,Mairbek Taisumov vs. Damir Hadzovic
UFC Fight Night: Rothwell vs Dos Santos,Damian Stasiak vs. Filip Pejic
UFC Fight Night: Rothwell vs Dos Santos,Lucas Martins vs. Robert Whiteford
UFC Fight Night: Rothwell vs Dos Santos,Jared Cannonier vs. Cyril Asker
UFC Fight Night: Rothwell vs Dos Santos,Bojan Velickovic vs. Alessio Di Chirico
UFC Fight Night: Hunt vs Mir,Mark Hunt vs. Frank Mir
UFC Fight Night: Hunt vs Mir,Neil Magny vs. Hector Lombard
UFC Fight Night: Hunt vs Mir,Jake Matthews vs. Johnny Case
UFC Fight Night: Hunt vs Mir,Daniel Kelly vs. Antonio Carlos Junior
UFC Fight Night: Hunt vs Mir,Steve Bosse vs. James Te Huna
UFC Fight Night: Hunt vs Mir,Bec Rawlings vs. Seo Hee Ham
UFC Fight Night: Hunt vs Mir,Alan Jouban vs. Brendan O'Reilly
