Event,Fight
UFC Fight Night: Cannonier vs. Rodrigues,Nazim Sadykhov vs. Ismael Bonfim
UFC Fight Night: Cannonier vs. Rodrigues,Andre Petroski vs. Rodolfo Vieira
UFC Fight Night: Cannonier vs. Rodrigues,Jose Delgado vs. Connor Matthews
UFC Fight Night: Cannonier vs. Rodrigues,Angela Hill vs. Ketlen Souza
UFC Fight Night: Cannonier vs. Rodrigues,Rafael Estevam vs. Jesus Santos Aguilar
UFC Fight Night: Cannonier vs. Rodrigues,Gabriel Bonfim vs. Khaos Williams
UFC Fight Night: Cannonier vs. Rodrigues,Elijah Smith vs. Vince Morales
UFC Fight Night: Cannonier vs. Rodrigues,Valter Walker vs. Don'Tale Mayes
UFC Fight Night: Cannonier vs. Rodrigues,Jacqueline Cavalcanti vs. Julia Avila
UFC 312: Du Plessis vs. Strickland 2,Dricus Du Plessis vs. Sean Strickland
UFC 312: Du Plessis vs. Strickland 2,Zhang Weili vs. Tatiana Suarez
UFC 312: Du Plessis vs. Strickland 2,Talisson Teixeira vs. Justin Tafa
UFC 312: Du Plessis vs. Strickland 2,Jimmy Crute vs. Rodolfo Bellato
UFC 312: Du Plessis vs. Strickland 2,Jake Matthews vs. Francisco Prado
UFC 312: Du Plessis vs. Strickland 2,Gabriel Santos vs. Jack Jenkins
UFC 312: Du Plessis vs. Strickland 2,Tom Nolan vs. Viacheslav Borshchev
UFC 312: Du Plessis vs. Strickland 2,Wang Cong vs. Bruna Brasil
UFC 312: Du Plessis vs. Strickland 2,Aleksandre Topuria vs. Colby Thicknesse
UFC 312: Du Plessis vs. Strickland 2,Rong Zhu vs. Kody Steele
UFC 312: Du Plessis vs. Strickland 2,Jonathan Micallef vs. Kevin Jousset
UFC 312: Du Plessis vs. Strickland 2,Quillan Salkilld vs. Anshul Jubli
UFC 311: Makhachev vs. Moicano,Islam Makhachev vs. Renato Moicano
UFC 311: Makhachev vs. Moicano,Merab Dvalishvili vs. Umar Nurmagomedov
UFC 311: Makhachev vs. Moicano,Jiri Prochazka vs. Jamahal Hill
UFC 311: Makhachev vs. Moicano,Jailton Almeida vs. Serghei Spivac
UFC 311: Makhachev vs. Moicano,Reinier de Ridder vs. Kevin Holland
UFC 311: Makhachev vs. Moicano,Raoni Barcelos vs. Payton Talbott
UFC 311: Makhachev vs. Moicano,Azamat Bekoev vs. Zach Reese
UFC 311: Makhachev vs. Moicano,Bogdan Guskov vs. Billy Elekana
UFC 311: Makhachev vs. Moicano,Grant Dawson vs. Diego Ferreira
UFC 311: Makhachev vs. Moicano,Ailin Perez vs. Karol Rosa
UFC 311: Makhachev vs. Moicano,Muin Gafurov vs. Rinya Nakamura
UFC 311: Makhachev vs. Moicano,Benardo Sopaj vs. Ricky Turcios
UFC 311: Makhachev vs. Moicano,Tagir Ulanbekov vs. Clayton Carpenter
UFC Fight Night: Dern vs. Ribas 2,Mackenzie Dern vs. Amanda Ribas
UFC Fight Night: Dern vs. Ribas 2,Santiago Ponzinibbio vs. Carlston Harris
UFC Fight Night: Dern vs. Ribas 2,Cesar Almeida vs. Abdul Razak Alhassan
UFC Fight Night: Dern vs. Ribas 2,Roman Kopylov vs. Chris Curtis
UFC Fight Night: Dern vs. Ribas 2,Christian Rodriguez vs. Austin Bashi
UFC Fight Night: Dern vs. Ribas 2,Punahele Soriano vs. Uros Medic
UFC Fight Night: Dern vs. Ribas 2,Felipe Bunes vs. Jose Johnson
UFC Fight Night: Dern vs. Ribas 2,Marco Tulio vs. Ihor Potieria
UFC Fight Night: Dern vs. Ribas 2,Thiago Moises vs. Trey Ogden
UFC Fight Night: Dern vs. Ribas 2,Jacobe Smith vs. Preston Parsons
UFC Fight Night: Dern vs. Ribas 2,Ernesta Kareckaite vs. Nicolle Caliari
UFC Fight Night: Dern vs. Ribas 2,Bruno Lopes vs. Magomed Gadzhiyasulov
UFC Fight Night: Dern vs. Ribas 2,Fatima Kline vs. Viktoriia Dudakova
UFC Fight Night: Dern vs. Ribas 2,Nurullo Aliev vs. Joe Solecki
UFC Fight Night: Covington vs. Buckley,Joaquin Buckley vs. Colby Covington
UFC Fight Night: Covington vs. Buckley,Cub Swanson vs. Billy Quarantillo
UFC Fight Night: Covington vs. Buckley,Manel Kape vs. Bruno Gustavo da Silva
UFC Fight Night: Covington vs. Buckley,Dustin Jacoby vs. Vitor Petrino
UFC Fight Night: Covington vs. Buckley,Daniel Marcos vs. Adrian Yanez
UFC Fight Night: Covington vs. Buckley,Navajo Stirling vs. Tuco Tokkos
UFC Fight Night: Covington vs. Buckley,Michael Johnson vs. Ottman Azaitar
UFC Fight Night: Covington vs. Buckley,Joel Alvarez vs. Drakkar Klose
UFC Fight Night: Covington vs. Buckley,Sean Woodson vs. Fernando Padilla
UFC Fight Night: Covington vs. Buckley,Felipe Lima vs. Miles Johns
UFC Fight Night: Covington vs. Buckley,Miranda Maverick vs. Jamey-Lyn Horth
UFC Fight Night: Covington vs. Buckley,Davey Grant vs. Ramon Taveras
UFC Fight Night: Covington vs. Buckley,Piera Rodriguez vs. Josefine Knutsson
UFC 310: Pantoja vs. Asakura,Alexandre Pantoja vs. Kai Asakura
UFC 310: Pantoja vs. Asakura,Shavkat Rakhmonov vs. Ian Garry
UFC 310: Pantoja vs. Asakura,Ciryl Gane vs. Alexander Volkov
UFC 310: Pantoja vs. Asakura,Bryce Mitchell vs. Kron Gracie
UFC 310: Pantoja vs. Asakura,Dooho Choi vs. Nate Landwehr
UFC 310: Pantoja vs. Asakura,Dominick Reyes vs. Anthony Smith
UFC 310: Pantoja vs. Asakura,Vicente Luque vs. Themba Gorimbo
UFC 310: Pantoja vs. Asakura,Movsar Evloev vs. Aljamain Sterling
UFC 310: Pantoja vs. Asakura,Bryan Battle vs. Randy Brown
UFC 310: Pantoja vs. Asakura,Eryk Anders vs. Chris Weidman
UFC 310: Pantoja vs. Asakura,Joshua Van vs. Cody Durden
UFC 310: Pantoja vs. Asakura,Michael Chiesa vs. Max Griffin
UFC 310: Pantoja vs. Asakura,Chase Hooper vs. Clay Guida
UFC 310: Pantoja vs. Asakura,Kennedy Nzechukwu vs. Lukasz Brzeski
UFC Fight Night: Yan vs. Figueiredo,Petr Yan vs. Deiveson Figueiredo
UFC Fight Night: Yan vs. Figueiredo,Yan Xiaonan vs. Tabatha Ricci
UFC Fight Night: Yan vs. Figueiredo,Muslim Salikhov vs. Song Kenan
UFC Fight Night: Yan vs. Figueiredo,Gabriella Fernandes vs. Wang Cong
UFC Fight Night: Yan vs. Figueiredo,Carlos Ulberg vs. Volkan Oezdemir
UFC Fight Night: Yan vs. Figueiredo,Zhang Minyang vs. Ozzy Diaz
UFC Fight Night: Yan vs. Figueiredo,Soo Young Yoo vs. Baergeng Jieleyisi
UFC Fight Night: Yan vs. Figueiredo,Dong Hyun Choi vs. Kiru Sahota
UFC Fight Night: Yan vs. Figueiredo,Song Shi Ming vs. Feng Xiaocan
UFC Fight Night: Yan vs. Figueiredo,Carlos Hernandez vs. Nyamjargal Tumendemberel
UFC Fight Night: Yan vs. Figueiredo,Lone'er Kavanagh vs. Jose Ochoa
UFC Fight Night: Yan vs. Figueiredo,Xiao Long vs. Quang Le
UFC Fight Night: Yan vs. Figueiredo,Nikolas Motta vs. Maheshate
UFC 309: Jones vs. Miocic,Jon Jones vs. Stipe Miocic
UFC 309: Jones vs. Miocic,Charles Oliveira vs. Michael Chandler
UFC 309: Jones vs. Miocic,Bo Nickal vs. Paul Craig
UFC 309: Jones vs. Miocic,Viviane Araujo vs. Karine Silva
UFC 309: Jones vs. Miocic,Mauricio Ruffy vs. James Llontop
UFC 309: Jones vs. Miocic,Marcus McGhee vs. Jonathan Martinez
UFC 309: Jones vs. Miocic,Jim Miller vs. Damon Jackson
UFC 309: Jones vs. Miocic,David Onama vs. Roberto Romero
UFC 309: Jones vs. Miocic,Marcin Tybura vs. Rodolfo Marques Diniz
UFC 309: Jones vs. Miocic,Ramiz Brahimaj vs. Mickey Gall
UFC 309: Jones vs. Miocic,Oban Elliott vs. Bassil Hafez
UFC 309: Jones vs. Miocic,Eduarda Moura vs. Veronica Macedo
UFC Fight Night: Magny vs. Prates,Carlos Prates vs. Neil Magny
UFC Fight Night: Magny vs. Prates,Reinier de Ridder vs. Gerald Meerschaert
UFC Fight Night: Magny vs. Prates,Gaston Bolanos vs. Cortavious Romious
UFC Fight Night: Magny vs. Prates,Gillian Robertson vs. Luana Pinheiro
UFC Fight Night: Magny vs. Prates,Mansur Abdul-Malik vs. Dusko Todorovic
UFC Fight Night: Magny vs. Prates,Denise Gomes vs. Karolina Kowalkiewicz
UFC Fight Night: Magny vs. Prates,Elizeu Zaleski dos Santos vs. Zachary Scroggin
UFC Fight Night: Magny vs. Prates,Charlie Radtke vs. Matthew Semelsberger
UFC Fight Night: Magny vs. Prates,Da'Mon Blackshear vs. Cody Stamann
UFC Fight Night: Magny vs. Prates,Tresean Gore vs. Antonio Trocoli
UFC Fight Night: Magny vs. Prates,Melissa Dixon vs. Klaudia Sygula
UFC Fight Night: Moreno vs. Albazi,Brandon Moreno vs. Amir Albazi
UFC Fight Night: Moreno vs. Albazi,Erin Blanchfield vs. Rose Namajunas
UFC Fight Night: Moreno vs. Albazi,Brendson Ribeiro vs. Caio Machado
UFC Fight Night: Moreno vs. Albazi,Jasmine Jasudavicius vs. Ariane Lipski
UFC Fight Night: Moreno vs. Albazi,Dustin Stoltzfus vs. Marc-Andre Barriault
UFC Fight Night: Moreno vs. Albazi,Mike Malott vs. Trevin Giles
UFC Fight Night: Moreno vs. Albazi,Aiemann Zahabi vs. Pedro Munhoz
UFC Fight Night: Moreno vs. Albazi,Charles Jourdain vs. Victor Henry
UFC Fight Night: Moreno vs. Albazi,Youssef Zalal vs. Jack Shore
UFC Fight Night: Moreno vs. Albazi,Alexandr Romanov vs. Rodrigo Nascimento
UFC Fight Night: Moreno vs. Albazi,Serhiy Sidey vs. Garrett Armfield
UFC Fight Night: Moreno vs. Albazi,Cody Gibson vs. Chad Anheliger
UFC Fight Night: Moreno vs. Albazi,Jamey-Lyn Horth vs. Ivana Petrovic
UFC Fight Night: Hernandez vs. Pereira,Anthony Hernandez vs. Michel Pereira
UFC Fight Night: Hernandez vs. Pereira,Rob Font vs. Kyler Phillips
UFC Fight Night: Hernandez vs. Pereira,Charles Johnson vs. Sumudaerji
